external_id;nombre;categoria;precio;stock;estado;descripcion;sede_id
PROD-0035;"Producto sintético 35";Bebidas;36.45;35;activo;"Descripción sintética con ñ 35";123
PROD-0036;"Producto sintético 36";"Categoría no mapeada";37.52;36;activo;"Descripción sintética con ñ 36";123
PROD-0037;"Producto sintético 37";Bebidas;38.59;37;activo;"Descripción sintética con ñ 37";123
PROD-0038;"Producto sintético 38";Nutrición;39.66;38;activo;"Descripción sintética con ñ 38";123
PROD-0039;"Producto sintético 39";"Categoría no mapeada";40.73;39;activo;"Descripción sintética con ñ 39";123
PROD-0040;"Producto sintético 40";Nutrición;41.80;40;activo;"Descripción sintética con ñ 40";123
PROD-0041;"Producto sintético 41";Bebidas;42.87;41;activo;"Descripción sintética con ñ 41";123
PROD-0042;"Producto sintético 42";"Categoría no mapeada";43.94;42;activo;"Descripción sintética con ñ 42";123
PROD-0043;"Producto sintético 43";Bebidas;44.01;43;activo;"Descripción sintética con ñ 43";123
PROD-0044;"Producto sintético 44";Nutrición;45.08;44;activo;"Descripción sintética con ñ 44";123
PROD-0045;"Producto sintético 45";"Categoría no mapeada";46.15;45;activo;"Descripción sintética con ñ 45";123
PROD-0046;"Producto sintético 46";Nutrición;47.22;46;activo;"Descripción sintética con ñ 46";123
PROD-0047;"Producto sintético 47";Bebidas;48.29;47;activo;"Descripción sintética con ñ 47";123
PROD-0048;"Producto sintético 48";"Categoría no mapeada";49.36;48;activo;"Descripción sintética con ñ 48";123
PROD-0049;"Producto sintético 49";Bebidas;50.43;49;activo;"Descripción sintética con ñ 49";123
PROD-0050;"Producto sintético 50";Nutrición;51.50;50;activo;"Descripción sintética con ñ 50";123
PROD-0051;"Producto sintético 51";"Categoría no mapeada";52.57;51;inactivo;"Descripción sintética con ñ 51";123
PROD-0052;"Producto sintético 52";Nutrición;53.64;52;activo;"Descripción sintética con ñ 52";123
PROD-0053;"Producto sintético 53";Bebidas;54.71;53;activo;"Descripción sintética con ñ 53";123
PROD-0054;"Producto sintético 54";"Categoría no mapeada";55.78;54;activo;"Descripción sintética con ñ 54";123
PROD-0055;"Producto sintético 55";Bebidas;56.85;55;activo;"Descripción sintética con ñ 55";123
PROD-0056;"Producto sintético 56";Nutrición;57.92;56;activo;"Descripción sintética con ñ 56";123
PROD-0057;"Producto sintético 57";"Categoría no mapeada";58.99;57;activo;"Descripción sintética con ñ 57";123
PROD-0058;"Producto sintético 58";Nutrición;59.06;58;activo;"Descripción sintética con ñ 58";123
PROD-0059;"Producto sintético 59";Bebidas;60.13;59;activo;"Descripción sintética con ñ 59";123
PROD-0060;"Producto sintético 60";"Categoría no mapeada";61.20;60;activo;"Descripción sintética con ñ 60";123
PROD-0061;"Producto sintético 61";Bebidas;62.27;61;activo;"Descripción sintética con ñ 61";123
PROD-0062;"Producto sintético 62";Nutrición;63.34;62;activo;"Descripción sintética con ñ 62";123
PROD-0063;"Producto sintético 63";"Categoría no mapeada";64.41;63;activo;"Descripción sintética con ñ 63";123
PROD-0064;"Producto sintético 64";Nutrición;65.48;64;activo;"Descripción sintética con ñ 64";123
PROD-0065;"Producto sintético 65";Bebidas;66.55;65;activo;"Descripción sintética con ñ 65";123
PROD-0066;"Producto sintético 66";"Categoría no mapeada";67.62;66;activo;"Descripción sintética con ñ 66";123
PROD-0067;"Producto sintético 67";Bebidas;68.69;67;activo;"Descripción sintética con ñ 67";123
PROD-0068;"Producto sintético 68";Nutrición;69.76;68;inactivo;"Descripción sintética con ñ 68";123
PROD-0069;"Producto sintético 69";"Categoría no mapeada";70.83;69;activo;"Descripción sintética con ñ 69";123
PROD-0070;"Producto sintético 70";Nutrición;71.90;70;activo;"Descripción sintética con ñ 70";123
PROD-0071;"Producto sintético 71";Bebidas;72.97;71;activo;"Descripción sintética con ñ 71";123
PROD-0072;"Producto sintético 72";"Categoría no mapeada";73.04;72;activo;"Descripción sintética con ñ 72";123
PROD-0073;"Producto sintético 73";Bebidas;74.11;73;activo;"Descripción sintética con ñ 73";123
PROD-0074;"Producto sintético 74";Nutrición;75.18;74;activo;"Descripción sintética con ñ 74";123
PROD-0075;"Producto sintético 75";"Categoría no mapeada";76.25;75;activo;"Descripción sintética con ñ 75";123
PROD-0076;"Producto sintético 76";Nutrición;77.32;76;activo;"Descripción sintética con ñ 76";123
PROD-0077;"Producto sintético 77";Bebidas;78.39;77;activo;"Descripción sintética con ñ 77";123
PROD-0078;"Producto sintético 78";"Categoría no mapeada";79.46;78;activo;"Descripción sintética con ñ 78";123
PROD-0079;"Producto sintético 79";Bebidas;80.53;79;activo;"Descripción sintética con ñ 79";123
PROD-0080;"Producto sintético 80";Nutrición;81.60;80;activo;"Descripción sintética con ñ 80";123
PROD-0081;"Producto sintético 81";"Categoría no mapeada";82.67;81;activo;"Descripción sintética con ñ 81";123
PROD-0082;"Producto sintético 82";Nutrición;83.74;82;activo;"Descripción sintética con ñ 82";123
PROD-0083;"Producto sintético 83";Bebidas;84.81;83;activo;"Descripción sintética con ñ 83";123
PROD-0084;"Producto sintético 84";"Categoría no mapeada";85.88;84;activo;"Descripción sintética con ñ 84";123
PROD-0085;"Producto sintético 85";Bebidas;86.95;85;inactivo;"Descripción sintética con ñ 85";123
PROD-0086;"Producto sintético 86";Nutrición;87.02;86;activo;"Descripción sintética con ñ 86";123
PROD-0087;"Producto sintético 87";"Categoría no mapeada";88.09;87;activo;"Descripción sintética con ñ 87";123
PROD-0088;"Producto sintético 88";Nutrición;89.16;88;activo;"Descripción sintética con ñ 88";123
PROD-0089;"Producto sintético 89";Bebidas;90.23;89;activo;"Descripción sintética con ñ 89";123
PROD-0090;"Producto sintético 90";"Categoría no mapeada";91.30;90;activo;"Descripción sintética con ñ 90";123
PROD-0091;"Producto sintético 91";Bebidas;92.37;91;activo;"Descripción sintética con ñ 91";123
PROD-0092;"Producto sintético 92";Nutrición;93.44;92;activo;"Descripción sintética con ñ 92";123
PROD-0093;"Producto sintético 93";"Categoría no mapeada";94.51;93;activo;"Descripción sintética con ñ 93";123
PROD-0094;"Producto sintético 94";Nutrición;95.58;94;activo;"Descripción sintética con ñ 94";123
PROD-0095;"Producto sintético 95";Bebidas;96.65;95;activo;"Descripción sintética con ñ 95";123
PROD-0096;"Producto sintético 96";"Categoría no mapeada";97.72;96;activo;"Descripción sintética con ñ 96";123
PROD-0097;"Producto sintético 97";Bebidas;98.79;97;activo;"Descripción sintética con ñ 97";123
PROD-0098;"Producto sintético 98";Nutrición;99.86;98;activo;"Descripción sintética con ñ 98";123
PROD-0099;"Producto sintético 99";"Categoría no mapeada";100.93;99;activo;"Descripción sintética con ñ 99";123
PROD-0100;"Producto sintético 100";Nutrición;1.00;100;activo;"Descripción sintética con ñ 100";123
PROD-0101;"Producto sintético 101";Bebidas;2.07;101;activo;"Descripción sintética con ñ 101";123
PROD-0102;"Producto sintético 102";"Categoría no mapeada";3.14;102;inactivo;"Descripción sintética con ñ 102";123
PROD-0103;"Producto sintético 103";Bebidas;4.21;103;activo;"Descripción sintética con ñ 103";123
PROD-0104;"Producto sintético 104";Nutrición;5.28;104;activo;"Descripción sintética con ñ 104";123
PROD-0105;"Producto sintético 105";"Categoría no mapeada";6.35;105;activo;"Descripción sintética con ñ 105";123
PROD-0106;"Producto sintético 106";Nutrición;7.42;106;activo;"Descripción sintética con ñ 106";123
PROD-0107;"Producto sintético 107";Bebidas;8.49;107;activo;"Descripción sintética con ñ 107";123
PROD-0108;"Producto sintético 108";"Categoría no mapeada";9.56;108;activo;"Descripción sintética con ñ 108";123
PROD-0109;"Producto sintético 109";Bebidas;10.63;109;activo;"Descripción sintética con ñ 109";123
PROD-0110;"Producto sintético 110";Nutrición;11.70;110;activo;"Descripción sintética con ñ 110";123
PROD-0111;"Producto sintético 111";"Categoría no mapeada";12.77;111;activo;"Descripción sintética con ñ 111";123
PROD-0112;"Producto sintético 112";Nutrición;13.84;112;activo;"Descripción sintética con ñ 112";123
PROD-0113;"Producto sintético 113";Bebidas;14.91;113;activo;"Descripción sintética con ñ 113";123
PROD-0114;"Producto sintético 114";"Categoría no mapeada";15.98;114;activo;"Descripción sintética con ñ 114";123
PROD-0115;"Producto sintético 115";Bebidas;16.05;115;activo;"Descripción sintética con ñ 115";123
PROD-0116;"Producto sintético 116";Nutrición;17.12;116;activo;"Descripción sintética con ñ 116";123
PROD-0117;"Producto sintético 117";"Categoría no mapeada";18.19;117;activo;"Descripción sintética con ñ 117";123
PROD-0118;"Producto sintético 118";Nutrición;19.26;118;activo;"Descripción sintética con ñ 118";123
PROD-0119;"Producto sintético 119";Bebidas;20.33;119;inactivo;"Descripción sintética con ñ 119";123
PROD-0120;"Producto sintético 120";"Categoría no mapeada";21.40;120;activo;"Descripción sintética con ñ 120";123
PROD-0121;"Producto sintético 121";Bebidas;22.47;121;activo;"Descripción sintética con ñ 121";123
PROD-0122;"Producto sintético 122";Nutrición;23.54;122;activo;"Descripción sintética con ñ 122";123
PROD-0123;"Producto sintético 123";"Categoría no mapeada";24.61;123;activo;"Descripción sintética con ñ 123";123
PROD-0124;"Producto sintético 124";Nutrición;25.68;124;activo;"Descripción sintética con ñ 124";123
PROD-0125;"Producto sintético 125";Bebidas;26.75;125;activo;"Descripción sintética con ñ 125";123
PROD-0126;"Producto sintético 126";"Categoría no mapeada";27.82;126;activo;"Descripción sintética con ñ 126";123
PROD-0127;"Producto sintético 127";Bebidas;28.89;127;activo;"Descripción sintética con ñ 127";123
PROD-0128;"Producto sintético 128";Nutrición;29.96;128;activo;"Descripción sintética con ñ 128";123
PROD-0129;"Producto sintético 129";"Categoría no mapeada";30.03;129;activo;"Descripción sintética con ñ 129";123
PROD-0130;"Producto sintético 130";Nutrición;31.10;130;activo;"Descripción sintética con ñ 130";123
PROD-0131;"Producto sintético 131";Bebidas;32.17;131;activo;"Descripción sintética con ñ 131";123
PROD-0132;"Producto sintético 132";"Categoría no mapeada";33.24;132;activo;"Descripción sintética con ñ 132";123
PROD-0133;"Producto sintético 133";Bebidas;34.31;133;activo;"Descripción sintética con ñ 133";123
PROD-0134;"Producto sintético 134";Nutrición;35.38;134;activo;"Descripción sintética con ñ 134";123
PROD-0135;"Producto sintético 135";"Categoría no mapeada";36.45;135;activo;"Descripción sintética con ñ 135";123
PROD-0136;"Producto sintético 136";Nutrición;37.52;136;inactivo;"Descripción sintética con ñ 136";123
PROD-0137;"Producto sintético 137";Bebidas;38.59;137;activo;"Descripción sintética con ñ 137";123
PROD-0138;"Producto sintético 138";"Categoría no mapeada";39.66;138;activo;"Descripción sintética con ñ 138";123
PROD-0139;"Producto sintético 139";Bebidas;40.73;139;activo;"Descripción sintética con ñ 139";123
PROD-0140;"Producto sintético 140";Nutrición;41.80;140;activo;"Descripción sintética con ñ 140";123
PROD-0141;"Producto sintético 141";"Categoría no mapeada";42.87;141;activo;"Descripción sintética con ñ 141";123
PROD-0142;"Producto sintético 142";Nutrición;43.94;142;activo;"Descripción sintética con ñ 142";123
PROD-0143;"Producto sintético 143";Bebidas;44.01;143;activo;"Descripción sintética con ñ 143";123
PROD-0144;"Producto sintético 144";"Categoría no mapeada";45.08;144;activo;"Descripción sintética con ñ 144";123
PROD-0145;"Producto sintético 145";Bebidas;46.15;145;activo;"Descripción sintética con ñ 145";123
PROD-0146;"Producto sintético 146";Nutrición;47.22;146;activo;"Descripción sintética con ñ 146";123
PROD-0147;"Producto sintético 147";"Categoría no mapeada";48.29;147;activo;"Descripción sintética con ñ 147";123
PROD-0148;"Producto sintético 148";Nutrición;49.36;148;activo;"Descripción sintética con ñ 148";123
PROD-0149;"Producto sintético 149";Bebidas;50.43;149;activo;"Descripción sintética con ñ 149";123
PROD-0150;"Producto sintético 150";"Categoría no mapeada";51.50;150;activo;"Descripción sintética con ñ 150";123
PROD-0151;"Producto sintético 151";Bebidas;52.57;151;activo;"Descripción sintética con ñ 151";123
PROD-0152;"Producto sintético 152";Nutrición;53.64;152;activo;"Descripción sintética con ñ 152";123
PROD-0153;"Producto sintético 153";"Categoría no mapeada";54.71;153;inactivo;"Descripción sintética con ñ 153";123
PROD-0154;"Producto sintético 154";Nutrición;55.78;154;activo;"Descripción sintética con ñ 154";123
PROD-0155;"Producto sintético 155";Bebidas;56.85;155;activo;"Descripción sintética con ñ 155";123
PROD-0156;"Producto sintético 156";"Categoría no mapeada";57.92;156;activo;"Descripción sintética con ñ 156";123
PROD-0157;"Producto sintético 157";Bebidas;58.99;157;activo;"Descripción sintética con ñ 157";123
PROD-0158;"Producto sintético 158";Nutrición;59.06;158;activo;"Descripción sintética con ñ 158";123
PROD-0159;"Producto sintético 159";"Categoría no mapeada";60.13;159;activo;"Descripción sintética con ñ 159";123
PROD-0160;"Producto sintético 160";Nutrición;61.20;160;activo;"Descripción sintética con ñ 160";123
PROD-0161;"Producto sintético 161";Bebidas;62.27;161;activo;"Descripción sintética con ñ 161";123
PROD-0162;"Producto sintético 162";"Categoría no mapeada";63.34;162;activo;"Descripción sintética con ñ 162";123
PROD-0163;"Producto sintético 163";Bebidas;64.41;163;activo;"Descripción sintética con ñ 163";123
PROD-0164;"Producto sintético 164";Nutrición;65.48;164;activo;"Descripción sintética con ñ 164";123
PROD-0165;"Producto sintético 165";"Categoría no mapeada";66.55;165;activo;"Descripción sintética con ñ 165";123
PROD-0166;"Producto sintético 166";Nutrición;67.62;166;activo;"Descripción sintética con ñ 166";123
PROD-0167;"Producto sintético 167";Bebidas;68.69;167;activo;"Descripción sintética con ñ 167";123
PROD-0168;"Producto sintético 168";"Categoría no mapeada";69.76;168;activo;"Descripción sintética con ñ 168";123
PROD-0169;"Producto sintético 169";Bebidas;70.83;169;activo;"Descripción sintética con ñ 169";123
PROD-0170;"Producto sintético 170";Nutrición;71.90;170;inactivo;"Descripción sintética con ñ 170";123
PROD-0171;"Producto sintético 171";"Categoría no mapeada";72.97;171;activo;"Descripción sintética con ñ 171";123
PROD-0172;"Producto sintético 172";Nutrición;73.04;172;activo;"Descripción sintética con ñ 172";123
PROD-0173;"Producto sintético 173";Bebidas;74.11;173;activo;"Descripción sintética con ñ 173";123
PROD-0174;"Producto sintético 174";"Categoría no mapeada";75.18;174;activo;"Descripción sintética con ñ 174";123
PROD-0175;"Producto sintético 175";Bebidas;76.25;175;activo;"Descripción sintética con ñ 175";123
PROD-0176;"Producto sintético 176";Nutrición;77.32;176;activo;"Descripción sintética con ñ 176";123
PROD-0177;"Producto sintético 177";"Categoría no mapeada";78.39;177;activo;"Descripción sintética con ñ 177";123
PROD-0178;"Producto sintético 178";Nutrición;79.46;178;activo;"Descripción sintética con ñ 178";123
PROD-0179;"Producto sintético 179";Bebidas;80.53;179;activo;"Descripción sintética con ñ 179";123
PROD-0180;"Producto sintético 180";"Categoría no mapeada";81.60;180;activo;"Descripción sintética con ñ 180";123
PROD-0181;"Producto sintético 181";Bebidas;82.67;181;activo;"Descripción sintética con ñ 181";123
PROD-0182;"Producto sintético 182";Nutrición;83.74;182;activo;"Descripción sintética con ñ 182";123
PROD-0183;"Producto sintético 183";"Categoría no mapeada";84.81;183;activo;"Descripción sintética con ñ 183";123
PROD-0184;"Producto sintético 184";Nutrición;85.88;184;activo;"Descripción sintética con ñ 184";123
PROD-0185;"Producto sintético 185";Bebidas;86.95;185;activo;"Descripción sintética con ñ 185";123
PROD-0186;"Producto sintético 186";"Categoría no mapeada";87.02;186;activo;"Descripción sintética con ñ 186";123
PROD-0187;"Producto sintético 187";Bebidas;88.09;187;inactivo;"Descripción sintética con ñ 187";123
PROD-0188;"Producto sintético 188";Nutrición;89.16;188;activo;"Descripción sintética con ñ 188";123
PROD-0189;"Producto sintético 189";"Categoría no mapeada";90.23;189;activo;"Descripción sintética con ñ 189";123
PROD-0190;"Producto sintético 190";Nutrición;91.30;190;activo;"Descripción sintética con ñ 190";123
PROD-0191;"Producto sintético 191";Bebidas;92.37;191;activo;"Descripción sintética con ñ 191";123
PROD-0192;"Producto sintético 192";"Categoría no mapeada";93.44;192;activo;"Descripción sintética con ñ 192";123
PROD-0193;"Producto sintético 193";Bebidas;94.51;193;activo;"Descripción sintética con ñ 193";123
PROD-0194;"Producto sintético 194";Nutrición;95.58;194;activo;"Descripción sintética con ñ 194";123
PROD-0195;"Producto sintético 195";"Categoría no mapeada";96.65;195;activo;"Descripción sintética con ñ 195";123
PROD-0196;"Producto sintético 196";Nutrición;97.72;196;activo;"Descripción sintética con ñ 196";123
PROD-0197;"Producto sintético 197";Bebidas;98.79;197;activo;"Descripción sintética con ñ 197";123
PROD-0198;"Producto sintético 198";"Categoría no mapeada";99.86;198;activo;"Descripción sintética con ñ 198";123
PROD-0199;"Producto sintético 199";Bebidas;100.93;199;activo;"Descripción sintética con ñ 199";123
PROD-0200;"Producto sintético 200";Nutrición;1.00;200;activo;"Descripción sintética con ñ 200";123
PROD-0201;"Producto sintético 201";"Categoría no mapeada";2.07;201;activo;"Descripción sintética con ñ 201";123
PROD-0202;"Producto sintético 202";Nutrición;3.14;202;activo;"Descripción sintética con ñ 202";123
PROD-0203;"Producto sintético 203";Bebidas;4.21;203;activo;"Descripción sintética con ñ 203";123
PROD-0204;"Producto sintético 204";"Categoría no mapeada";5.28;204;inactivo;"Descripción sintética con ñ 204";123
PROD-0205;"Producto sintético 205";Bebidas;6.35;205;activo;"Descripción sintética con ñ 205";123
PROD-0206;"Producto sintético 206";Nutrición;7.42;206;activo;"Descripción sintética con ñ 206";123
PROD-0207;"Producto sintético 207";"Categoría no mapeada";8.49;207;activo;"Descripción sintética con ñ 207";123
PROD-0208;"Producto sintético 208";Nutrición;9.56;208;activo;"Descripción sintética con ñ 208";123
PROD-0209;"Producto sintético 209";Bebidas;10.63;209;activo;"Descripción sintética con ñ 209";123
PROD-0210;"Producto sintético 210";"Categoría no mapeada";11.70;210;activo;"Descripción sintética con ñ 210";123
PROD-0211;"Producto sintético 211";Bebidas;12.77;211;activo;"Descripción sintética con ñ 211";123
PROD-0212;"Producto sintético 212";Nutrición;13.84;212;activo;"Descripción sintética con ñ 212";123
PROD-0213;"Producto sintético 213";"Categoría no mapeada";14.91;213;activo;"Descripción sintética con ñ 213";123
PROD-0214;"Producto sintético 214";Nutrición;15.98;214;activo;"Descripción sintética con ñ 214";123
PROD-0215;"Producto sintético 215";Bebidas;16.05;215;activo;"Descripción sintética con ñ 215";123
PROD-0216;"Producto sintético 216";"Categoría no mapeada";17.12;216;activo;"Descripción sintética con ñ 216";123
PROD-0217;"Producto sintético 217";Bebidas;18.19;217;activo;"Descripción sintética con ñ 217";123
PROD-0218;"Producto sintético 218";Nutrición;19.26;218;activo;"Descripción sintética con ñ 218";123
PROD-0219;"Producto sintético 219";"Categoría no mapeada";20.33;219;activo;"Descripción sintética con ñ 219";123
PROD-0220;"Producto sintético 220";Nutrición;21.40;220;activo;"Descripción sintética con ñ 220";123
PROD-0221;"Producto sintético 221";Bebidas;22.47;221;inactivo;"Descripción sintética con ñ 221";123
PROD-0222;"Producto sintético 222";"Categoría no mapeada";23.54;222;activo;"Descripción sintética con ñ 222";123
PROD-0223;"Producto sintético 223";Bebidas;24.61;223;activo;"Descripción sintética con ñ 223";123
PROD-0224;"Producto sintético 224";Nutrición;25.68;224;activo;"Descripción sintética con ñ 224";123
PROD-0225;"Producto sintético 225";"Categoría no mapeada";26.75;225;activo;"Descripción sintética con ñ 225";123
PROD-0226;"Producto sintético 226";Nutrición;27.82;226;activo;"Descripción sintética con ñ 226";123
PROD-0227;"Producto sintético 227";Bebidas;28.89;227;activo;"Descripción sintética con ñ 227";123
PROD-0228;"Producto sintético 228";"Categoría no mapeada";29.96;228;activo;"Descripción sintética con ñ 228";123
PROD-0229;"Producto sintético 229";Bebidas;30.03;229;activo;"Descripción sintética con ñ 229";123
PROD-0230;"Producto sintético 230";Nutrición;31.10;230;activo;"Descripción sintética con ñ 230";123
PROD-0231;"Producto sintético 231";"Categoría no mapeada";32.17;231;activo;"Descripción sintética con ñ 231";123
PROD-0232;"Producto sintético 232";Nutrición;33.24;232;activo;"Descripción sintética con ñ 232";123
PROD-0233;"Producto sintético 233";Bebidas;34.31;233;activo;"Descripción sintética con ñ 233";123
PROD-0234;"Producto sintético 234";"Categoría no mapeada";35.38;234;activo;"Descripción sintética con ñ 234";123
PROD-0235;"Producto sintético 235";Bebidas;36.45;235;activo;"Descripción sintética con ñ 235";123
PROD-0236;"Producto sintético 236";Nutrición;37.52;236;activo;"Descripción sintética con ñ 236";123
PROD-0237;"Producto sintético 237";"Categoría no mapeada";38.59;237;activo;"Descripción sintética con ñ 237";123
PROD-0238;"Producto sintético 238";Nutrición;39.66;238;inactivo;"Descripción sintética con ñ 238";123
PROD-0239;"Producto sintético 239";Bebidas;40.73;239;activo;"Descripción sintética con ñ 239";123
PROD-0240;"Producto sintético 240";"Categoría no mapeada";41.80;240;activo;"Descripción sintética con ñ 240";123
PROD-0241;"Producto sintético 241";Bebidas;42.87;241;activo;"Descripción sintética con ñ 241";123
PROD-0242;"Producto sintético 242";Nutrición;43.94;242;activo;"Descripción sintética con ñ 242";123
PROD-0243;"Producto sintético 243";"Categoría no mapeada";44.01;243;activo;"Descripción sintética con ñ 243";123
PROD-0244;"Producto sintético 244";Nutrición;45.08;244;activo;"Descripción sintética con ñ 244";123
PROD-0245;"Producto sintético 245";Bebidas;46.15;245;activo;"Descripción sintética con ñ 245";123
PROD-0246;"Producto sintético 246";"Categoría no mapeada";47.22;246;activo;"Descripción sintética con ñ 246";123
PROD-0247;"Producto sintético 247";Bebidas;48.29;247;activo;"Descripción sintética con ñ 247";123
PROD-0248;"Producto sintético 248";Nutrición;49.36;248;activo;"Descripción sintética con ñ 248";123
PROD-0249;"Producto sintético 249";"Categoría no mapeada";50.43;249;activo;"Descripción sintética con ñ 249";123
PROD-0250;"Producto sintético 250";Nutrición;51.50;0;activo;"Descripción sintética con ñ 250";123
PROD-0251;"Producto sintético 251";Bebidas;52.57;1;activo;"Descripción sintética con ñ 251";123
PROD-0252;"Producto sintético 252";"Categoría no mapeada";53.64;2;activo;"Descripción sintética con ñ 252";123
PROD-0253;"Producto sintético 253";Bebidas;54.71;3;activo;"Descripción sintética con ñ 253";123
PROD-0254;"Producto sintético 254";Nutrición;55.78;4;activo;"Descripción sintética con ñ 254";123
PROD-0255;"Producto sintético 255";"Categoría no mapeada";56.85;5;inactivo;"Descripción sintética con ñ 255";123
PROD-0256;"Producto sintético 256";Nutrición;57.92;6;activo;"Descripción sintética con ñ 256";123
PROD-0257;"Producto sintético 257";Bebidas;58.99;7;activo;"Descripción sintética con ñ 257";123
PROD-0258;"Producto sintético 258";"Categoría no mapeada";59.06;8;activo;"Descripción sintética con ñ 258";123
PROD-0259;"Producto sintético 259";Bebidas;60.13;9;activo;"Descripción sintética con ñ 259";123
PROD-0260;"Producto sintético 260";Nutrición;61.20;10;activo;"Descripción sintética con ñ 260";123
PROD-0261;"Producto sintético 261";"Categoría no mapeada";62.27;11;activo;"Descripción sintética con ñ 261";123
PROD-0262;"Producto sintético 262";Nutrición;63.34;12;activo;"Descripción sintética con ñ 262";123
PROD-0263;"Producto sintético 263";Bebidas;64.41;13;activo;"Descripción sintética con ñ 263";123
PROD-0264;"Producto sintético 264";"Categoría no mapeada";65.48;14;activo;"Descripción sintética con ñ 264";123
PROD-0265;"Producto sintético 265";Bebidas;66.55;15;activo;"Descripción sintética con ñ 265";123
PROD-0266;"Producto sintético 266";Nutrición;67.62;16;activo;"Descripción sintética con ñ 266";123
PROD-0267;"Producto sintético 267";"Categoría no mapeada";68.69;17;activo;"Descripción sintética con ñ 267";123
PROD-0268;"Producto sintético 268";Nutrición;69.76;18;activo;"Descripción sintética con ñ 268";123
PROD-0269;"Producto sintético 269";Bebidas;70.83;19;activo;"Descripción sintética con ñ 269";123
PROD-0270;"Producto sintético 270";"Categoría no mapeada";71.90;20;activo;"Descripción sintética con ñ 270";123
PROD-0271;"Producto sintético 271";Bebidas;72.97;21;activo;"Descripción sintética con ñ 271";123
PROD-0272;"Producto sintético 272";Nutrición;73.04;22;inactivo;"Descripción sintética con ñ 272";123
PROD-0273;"Producto sintético 273";"Categoría no mapeada";74.11;23;activo;"Descripción sintética con ñ 273";123
PROD-0274;"Producto sintético 274";Nutrición;75.18;24;activo;"Descripción sintética con ñ 274";123
